TC ID	대분류(진행 단계)	중분류(화면/패널)	소분류(요소)	Preconditions(사전조건)	Test procedure(테스트 절차)	API 확인(요청/응답)	Expected result(기대 결과)
TC_ONI_003	ONI 설정	Panel_ONI_Trend	ONI 차트	oni_range 로드 완료	슬라이더 드래그 중 차트·게이지·미니맵 확인	해당없음	현재 ONI 수직선(MarkLine) 이동, 차트·게이지·미니맵이 동시에 즉시 보간됨
TC_ONI_004	ONI 설정	Panel_ONI_Slider	ONI 슬라이더(손 뗌)	TC_ONI_001 드래그 완료	슬라이더에서 손 뗌(PointerUp)	[요청] 150ms 후 GET /predict?year=&month=&oni={슬라이더값} / [응답] 200	건물 색상·구별 패널·경보 단계가 새 ONI 값으로 갱신
TC_ONI_005	ONI 설정	Btn_BlakcoutSimulation	순환 단전 버튼	ONI 변경으로 reserve_rate < 5%(level 4)	슬라이더 조정 후 손 뗌 > predict 완료	[요청] GET /predict + (alert_level=4 시) POST /blackout_simulation	순환단전 버튼 빨간색 활성, 라벨 "순환 단전 Start"
TC_ONI_006	ONI 설정	Panel_ONI_Slider	ONI 슬라이더(잠금)	순환 단전 실행 중	슬라이더 드래그 시도	해당없음	슬라이더 interactable=false로 조작 불가
TC_VIS_001	결과 확인	Panel_PowerStatus	경보 단계·Dot	/predict 완료	Panel_PowerStatus 확인	[응답] predicted.alert_level, alert_label	단계명(정상/관심/주의/경계/심각)과 Dot 색상이 alert_level과 정확히 일치
TC_VIS_002	결과 확인	Panel_PowerStatus	예비율 게이지	/predict 완료	BlackoutGaugePanel 도넛·바늘 확인	[응답] predicted.supply.reserve_rate	게이지 바늘 위치·세그먼트 색상이 예비율 수치 구간과 일치
TC_VIS_003	결과 확인	Panel_HUD_Info	HUD 날짜·기온·경보	predict 완료	HUD 상단 정보 확인	[응답] predicted.asos_temp, alert_label	선택한 연·월, 예측 기온, 경보 dot이 예측 결과와 일치하여 표시
TC_VIS_004	결과 확인	미니맵	구별 색상(cmap)	/predict + oni_range 완료	미니맵 25개 구 색상 확인	[응답] regions[].total_consumption_mwh	구별 소비량에 따라 색상이 구분되어 표시되며 범례와 일치
TC_VIS_005	결과 확인	3D 뷰	건물 색상	/predict 완료, 활성 구 표시	3D 건물 색상 확인	[응답] regions[].building_type[].reduction_need_score	건물유형별 수요감축 필요도에 따라 건물 색상이 구분되어 표시
TC_VIS_006	결과 확인	Panel_EnergyRatio	구별 전력 도넛	predict 완료, 구 미선택(서울 전체)	Panel_EnergyRatio 도넛·범례 확인	[응답] regions 합산 usage	7개 용도별 도넛과 범례 수치가 표시되며 시각화와 값이 일치
TC_VIS_007	결과 확인	Panel_EnergyRatio	구별 전력 도넛(구 선택)	predict 완료	미니맵에서 강남구 클릭	해당없음	강남구 용도별 소비량 기준으로 도넛·범례가 갱신됨
TC_VIS_008	결과 확인	Panel_ONI_Trend	차트(구 선택)	predict·oni_range 완료	미니맵에서 다른 구 클릭	해당없음	차트 제목·구별 시리즈가 선택한 구 기준으로 변경됨
TC_MAP_001	미니맵	미니맵	구 클릭	predict 완료, 순환단전 미실행	미니맵에서 임의 구 클릭	해당없음	구 아웃라인·툴팁 표시, 3D 카메라가 해당 구로 부드럽게 이동
TC_MAP_002	미니맵	3D 뷰	구 경계 Decal	구 클릭	3D 뷰에서 구 경계 확인	해당없음	GuBoundaryDecal로 선택한 구의 3D 경계가 표시됨
TC_MAP_003	미니맵	MainCamera	카메라 이동 제한	순환 단전 실행 중	미니맵 구 클릭 시도	해당없음	순환단전 중에는 수동 카메라 이동이 무시되고 구 순회 카메라가 우선됨
TC_BLK_001	순환 단전	Btn_BlakcoutSimulation	버튼 비활성	alert_level < 4(예비율 5% 이상)	ONI 패널 하단 버튼 확인	해당없음	버튼 회색 비활성, 라벨 "순환 단전 Start", 클릭 불가
TC_BLK_002	순환 단전	Btn_BlakcoutSimulation	버튼 활성	alert_level=4, blackout 데이터 로드 완료	버튼 상태 확인	POST /blackout_simulation 사전 완료	버튼 빨간색 활성, 라벨 "순환 단전 Start"
TC_BLK_003	순환 단전	Btn_BlakcoutSimulation	시뮬 시작	TC_BLK_002 상태	[순환 단전 Start] 클릭	추가 API 없음(사전 로드 데이터 사용)	1초 이내 버튼 라벨 "순환 단전 Stop"으로 변경, 구 순회 시뮬레이션 시작
TC_BLK_004	순환 단전	3D 뷰	건물 정전 연출	TC_BLK_003 실행 중	첫 번째 구 순회 관찰	해당없음	해당 구 건물이 수요감축 필요도 높은 순서로 정전 연출, 카메라 해당 구로 이동
TC_BLK_005	순환 단전	미니맵	구 깜박임	TC_BLK_003 실행 중	현재 단전 구 미니맵 확인	해당없음	단전 중인 구가 미니맵에서 깜박임으로 표시됨
TC_BLK_006	순환 단전	Panel_Log	건물유형 로그	TC_BLK_003 실행 중	로그 패널 확인	[응답] blackout_items[].building_type, reduction_need_score	0.5초 간격으로 건물유형별 로그가 순서대로 출력된 후 다음 구로 진행
TC_BLK_007	순환 단전	Panel_PowerStatus	게이지 바늘	구별 순회 중	예비율 게이지 확인	해당없음	현재 단전 구 소비량에 맞게 게이지 바늘이 이동
TC_BLK_008	순환 단전	Btn_BlakcoutSimulation	시뮬 중단	TC_BLK_003 실행 중	[순환 단전 Stop] 클릭	해당없음	순회 즉시 중단, 건물 정전 연출 복구, 버튼 라벨 "순환 단전 Start"로 복귀
TC_BLK_009	순환 단전	Btn_BlakcoutSimulation	시뮬 완료	전체 구 순회 완료	자동 종료까지 대기	해당없음	라벨 "시뮬레이션 완료" 약 3초 표시 후 Start 버튼으로 복귀
TC_BLK_010	순환 단전	BlackoutSimulationController	데이터 없음	blackout_items 빈 목록 상태	Start 클릭	해당없음	Console Warning "순회할 구 데이터가 없습니다" 출력, 시뮬레이션 자동 취소
TC_BLK_011	순환 단전	BlackoutSimulationController	경보 하락	순환단전 실행 중 ONI 변경으로 alert_level < 4	슬라이더로 예비율 상승 후 predict	[요청] GET /predict(alert_level<4)	실행 중이던 시뮬레이션이 자동 중단됨
TC_API_001	API 검증	/oni	슬라이더 초기값	API 서버 기동	GET /oni?year=2025&month=8	[요청] GET /oni?year=2025&month=8 / [응답] 200, {"output":{"oni":실측값}}	과거 연월 실측 ONI 값 반환, 미래 연월은 0.0 반환
TC_API_002	API 검증	/predict	25구 예측	API 서버 기동	GET /predict?year=2030&month=8&oni=1.2	[요청] GET /predict?year=2030&month=8&oni=1.2 / [응답] 200	predicted.regions 길이=25, alert_level 0~4 범위, 기온·소비·공급·건물유형 점수 정상 포함
TC_API_003	API 검증	/predict/oni_range	차트 데이터	API 서버 기동	GET /predict/oni_range?year=2030&month=8	[요청] GET /predict/oni_range?year=2030&month=8 / [응답] 200	oni_range 길이=51, ONI -2.5~+2.5 0.1 간격
TC_API_004	API 검증	/blackout_simulation	순회 순서	alert_level=4 조건	POST /blackout_simulation body {year,month,oni}	[요청] POST /blackout_simulation / [응답] 200, districts_order·blackout_items	소비량 내림차순 25구 반환, blackout_items가 비어있지 않은 구만 순회 대상
TC_API_005	API 검증	/weather/current	실시간 기온	API 서버·KMA 키 설정	GET /weather/current	[요청] GET /weather/current / [응답] 200, weather 객체	현재 기온 수치가 정상 반환됨
TC_WEB_001	WebGL 배포	ApiClient	서버 URL	WebGL 빌드, nginx /api 프록시	WebGL 빌드 실행 후 연·월 선택	[요청] GET /api/oni?... (same-origin)	CORS 오류 없이 API 정상 호출됨
TC_WEB_002	WebGL 배포	C++ WASM	건물 렌더링	WebGL 빌드, Bake 완료	씬 진입 후 건물 표시 확인	해당없음	SeoulBuildingProcessor WASM으로 건물 메시가 정상 생성됨
